No Entidade Certificadora;Nu Ano;Nu Nota Comp1;Nu Nota Comp2;Nu Nota Comp3;Nu Nota Comp4;Nu Nota Comp5;Nu Nota Redacao;Q01;Q02;Q03;Q04;Q05;Q06;Q07;Q08;Q09;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q31;Q32;Q33;Q34;Q35;Q36;Q37;Q38;Q39;Q40;Q48;Sg Uf Prova;Tp Sexo;Tx Gabarito Ch;Tx Gabarito Cn;Tx Gabarito Lc;Tx Gabarito Mt;Tx Respostas Ch;Tx Respostas Cn;Tx Respostas Lc;Tx Respostas Mt;Co Prova Ch;Co Prova Cn;Co Prova Lc;Co Prova Mt;Co Uf Prova;In Aprovado Ch;In Aprovado Cn;In Aprovado Lc;In Aprovado Mt;In Prova Ch;In Prova Cn;In Prova Lc;In Prova Mt;Nu Idade;Nu Inscricao;Nu Nota Ch;Nu Nota Cn;Nu Nota Lc;Nu Nota Mt;Q10;Q11;Q12;Q13;Q14;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30;Q41;Q42;Q43;Q44;Q45;Q46;Q47;Tp Certificacao;Tp Presenca Ch;Tp Presenca Cn;Tp Presenca Lc;Tp Presenca Mt;Tp Status Redacao
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.6;1.6;1.6;0.8;6.8;B;A;B;A;A;B;B;A;K;D;C;D;A;B;F;E;A;;A;;B;B;B;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ABBABAABCADAAABBABBCCCABAA*ACC;;;;201911;;15;;;1;;0;0;1;0;35;180003692819;;;117;;5;5;5;5;5;5;5;5;0;0;5;5;5;5;0;0;0;5;0;2;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.6;1.4;1.6;1.6;1.4;7.6;C;B;B;A;A;D;C;A;D;E;A;A;B;B;J;E;A;;A;;B;B;B;A;B;B;;PA;M;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DABCCBBBACBBCDAACBAADBCBCAACBC;DBBDDDABCCDABCCCDCBCAADDADDAAD;ABBDBAACAADAACBAADDCCDDBCBDACC;BAABADDABBCBABACCABCBCDBDCADCA;201912;201909;201911;201910;15;1;1;1;1;1;1;1;1;27;180003797522;148;141;121;145;5;5;5;5;5;5;0;5;0;0;1;5;5;5;0;0;0;5;5;0;0;2;1;1;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.6;1.6;1.2;1.4;1.6;7.4;B;A;B;C;C;C;C;A;D;E;D;A;C;C;L;E;A;;B;;A;B;B;B;B;B;;PA;M;;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;BBDABABBCCDCBACCBBACBABDBDDBAD;BCBCCACBBACBDBDABADCCDBBCADBCC;BDCACDDAAADADCDDAAAABCCBDDBACA;;201909;201911;201910;15;;1;1;1;0;1;1;1;40;180004528881;;129;117;103;5;5;5;5;5;5;5;5;0;0;3;0;5;5;0;0;3;5;0;3;0;2;;1;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.6;1.2;1.2;1.8;7.2;C;C;B;B;B;B;B;A;D;;A;A;A;C;K;F;B;;;;;;;;;;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ACBCCDBBBADAABBCBCDDDDBDCADACC;;;;201911;;15;;;1;;0;0;1;0;46;180004696515;;;123;;5;5;5;5;5;5;5;5;0;0;5;5;5;5;0;5;0;5;5;5;5;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ITAITUBA;2019;1.2;0.4;1.2;1.2;0;4;D;A;B;A;A;B;A;A;G;E;C;A;C;E;J;B;A;;A;;B;A;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BABACAAADBBADACBBCACCDCBCBCDBC;;;;201911;;15;;;0;;0;0;1;0;32;180004864235;;;101;;5;5;5;5;5;5;5;5;4;0;3;4;5;4;0;3;0;2;5;3;3;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.4;1.2;1.2;0;5;C;A;B;F;F;C;C;A;D;D;B;A;D;C;K;F;A;;A;;B;B;B;A;B;A;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;DCBBBCDCDDAADDBCCBBDDDBCCADACC;;;;201911;;15;;;1;;0;0;1;0;35;180005698060;;;114;;5;5;5;5;4;4;5;4;4;3;5;5;5;5;3;4;3;5;5;4;3;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS PARAUAPEBAS;2019;1;1.2;1;1;1;5.2;C;B;B;F;F;A;A;A;J;A;A;A;A;A;J;G;A;;A;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BCBDBADCAADDABAABDADDDABDADBCC;;;;201911;;15;;;1;;0;0;1;0;45;180006086810;;;116;;5;5;5;5;5;5;5;5;5;0;5;5;5;0;0;0;0;5;5;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS MARABÁ INDUSTRIAL;2019;1;1.4;1.4;1.2;1.4;6.4;C;B;B;B;A;B;B;A;D;D;B;A;B;C;J;E;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BCCACDCADBCBAADBDAADBCCADADBDC;;;;201911;;15;;;0;;0;0;1;0;37;180006152825;;;88;;4;5;5;5;4;5;5;5;5;0;5;5;5;5;0;3;0;5;5;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ALTAMIRA;2019;1.4;1;1.4;1.4;1.8;7;B;A;A;F;A;B;B;A;A;A;A;A;A;C;J;G;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ACBDBDCCAA*CADCAACADDCACCADACC;;;;201911;;15;;;1;;0;0;1;0;36;180005439945;;;121;;5;5;3;2;5;5;4;5;5;0;5;5;5;3;0;0;0;5;5;5;0;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.4;1.2;1.2;1.4;6.4;B;A;A;A;A;B;B;A;A;E;A;D;A;D;I;G;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BABCBCCDDBDAABAACACCDCDBCBABCC;;;;201911;;15;;;1;;0;0;1;0;40;180004746054;;;118;;5;5;4;2;2;5;4;5;4;0;5;2;2;3;5;5;0;2;3;1;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ALTAMIRA;2019;1.6;1.8;1.4;1.4;1.8;8;B;A;B;F;A;B;B;A;E;D;B;A;A;C;C;F;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BCBADADCBDDDBDCBBADCCACBCBAAAC;;;;201911;;15;;;1;;0;0;1;0;40;180003877379;;;107;;5;5;5;5;4;5;5;5;5;0;5;5;5;5;0;0;0;0;0;0;5;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.6;1.4;1.6;0;6;C;A;B;A;A;B;B;A;E;D;A;D;A;D;G;D;A;;B;;B;B;B;B;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BBAACDCCABACCCBCDACCCADACDABAC;;;;201911;;15;;;0;;0;0;1;0;50;180004803629;;;87;;5;5;5;5;5;5;5;5;5;0;5;5;5;5;0;5;0;5;0;5;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CASTANHAL;2019;1.4;1.8;1.4;1.4;0;6;B;A;B;A;A;A;A;A;J;A;A;A;A;A;K;F;A;;B;;B;B;B;B;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BCBABCDCADDBDACABDDDDBDDCADACC;;;;201911;;15;;;1;;0;0;1;0;32;180004063406;;;113;;3;3;1;2;1;5;5;5;5;0;4;5;5;2;1;0;0;3;4;4;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ITAITUBA;2019;1.2;1.4;1.2;1.2;1.4;6.4;B;A;B;A;A;B;B;A;K;A;A;A;C;B;I;E;A;;B;;B;B;A;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;AABACDDADAACABCCDDBADCDBCBAADC;CDADAADADDBBADDDDDAAACBBCDDAAD;;;201911;201910;15;;;1;0;0;0;1;1;19;180004555828;;;103;89;2;1;5;4;5;5;2;3;0;0;4;4;4;4;4;4;3;3;3;3;0;2;;;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.6;1.6;1.6;0;6.4;B;B;B;C;B;B;B;A;K;E;C;A;A;C;J;E;A;;B;;B;B;A;B;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;ACBBBCDCABDA.DAABBACDCDBCBDACC;DDAACBDDDABAACDDAADAA.CAAADDAD;;;201911;201910;15;;;1;0;0;0;1;1;23;180004586252;;;127;82;5;5;5;5;5;5;3;5;4;1;5;3;5;4;4;2;0;4;0;0;2;2;;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS MARABÁ INDUSTRIAL;2019;1;1.4;1.2;1.2;0;4.8;C;A;B;C;A;B;A;A;L;A;D;D;B;A;K;F;A;;A;;B;A;B;A;A;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;CBBACDBCBBABACCBBDADCBCADBCBAC;;;;201911;;15;;;0;;0;0;1;0;32;180004429736;;;86;;5;5;5;5;3;5;3;5;0;1;3;5;5;1;3;2;4;4;2;2;3;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.2;1.6;1.2;1.2;0.8;6;B;B;B;G;G;B;B;A;I;E;B;A;A;C;K;G;A;;A;;B;B;A;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BBBACDCAAADABBACADDCDDBDCADCCD;;;;201911;;15;;;1;;0;0;1;0;36;180003842822;;;118;;5;5;5;5;5;5;0;5;5;5;5;5;5;0;0;0;5;5;5;5;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS TUCURUÍ;2019;1.2;0.8;1;1;0;4;C;C;A;A;A;C;B;A;D;D;A;A;A;A;K;F;A;;A;;B;B;A;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BBBC*.ACDBDDCCBACCBCDACCBDADBC;;;;201911;;15;;;0;;0;0;1;0;27;180005954483;;;100;;5;5;5;5;5;5;5;5;0;0;3;5;5;5;0;0;2;2;2;5;0;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.6;1.2;1.4;1.8;7.6;B;C;B;A;A;B;B;A;E;E;B;A;A;C;F;G;A;;A;;B;B;B;A;A;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;DCBBBCDCBBDAADAADDDAACDACCDBCC;;;;201911;;15;;;1;;0;0;1;0;54;180005246327;;;115;;5;5;5;5;5;5;5;5;5;1;5;4;5;5;0;3;1;5;3;3;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.4;1.6;1.4;1.4;1.2;7;A;B;B;B;B;B;B;A;D;E;D;A;B;C;K;F;A;;A;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ADBDBBCDDADAABAABBBCDCBCCADBCC;;;;201911;;15;;;1;;0;0;1;0;25;180004414195;;;141;;5;4;5;5;5;5;0;5;5;0;5;0;5;0;0;0;0;5;5;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ITAITUBA;2019;1;1.6;1.4;1.2;1.8;7;C;A;B;F;F;C;C;A;A;E;A;A;A;D;I;H;A;;A;;B;B;B;B;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BBBADDACAACCDDAADAADACADDADCAB;;;;201911;;15;;;1;;0;0;1;0;62;180005962702;;;101;;5;2;5;5;5;5;5;5;0;0;5;5;5;5;2;5;0;2;3;0;5;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS MARABÁ INDUSTRIAL;2019;1.4;1.6;1.2;1.2;1.2;6.6;C;B;B;G;B;C;B;A;D;D;B;A;A;C;I;E;A;;B;;B;B;A;B;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;CDBBCDDADBBBDDCADBCCBDDBBCDACC;;;;201911;;15;;;1;;0;0;1;0;44;180003784380;;;111;;4;5;4;5;5;5;3;5;2;0;4;0;4;5;0;2;0;4;5;5;0;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.6;1.4;1.4;2;7.8;C;C;B;A;B;B;B;A;H;A;C;A;C;C;H;E;A;;B;;B;B;B;A;A;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;DDBABAACDCDABBDABADCCCBBCADDCC;;;;201911;;15;;;1;;0;0;1;0;45;180004454186;;;123;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5;5;5;0;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.4;1.2;1.4;1.8;7.2;B;A;B;B;B;B;B;A;E;D;D;A;B;C;J;H;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ACDDDDCAAABAD*BCABBCDBDCCBBCDD;;;;201911;;15;;;0;;0;0;1;0;60;180004296759;;;91;;5;5;5;2;2;5;5;3;3;0;5;5;3;3;0;2;2;5;5;2;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CONCEIÇÃO DO ARAGUAIA;2019;1;1.6;1.2;1;1.8;6.6;C;A;B;F;A;C;B;A;L;A;A;A;A;D;I;H;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ABDDCCDBDBD*AACDACBDDDA*CADBCC;;;;201911;;15;;;1;;0;0;1;0;46;180004244139;;;103;;5;5;4;5;2;5;2;5;3;0;4;4;5;0;1;0;0;3;1;5;0;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.6;1.2;1.2;1.6;6.8;C;A;B;F;F;B;B;A;E;E;A;A;B;C;L;F;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;CBBABDBABAABBACACDDCCDBBCADDCC;;;;201911;;15;;;1;;0;0;1;0;34;180005947773;;;115;;5;5;5;5;5;5;5;5;5;0;5;5;5;5;0;0;0;5;5;5;0;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.4;1.4;1.4;1.8;7.2;B;A;B;A;A;A;A;A;I;C;B;A;D;C;K;H;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;CCBCDADDCBDADCBABDBDCDCCCADBDA;;;;201911;;15;;;1;;0;0;1;0;37;180004435239;;;107;;5;5;5;5;5;5;5;5;1;0;5;5;5;5;0;0;0;5;5;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS PARAUAPEBAS;2019;1.2;0.8;1;1.2;0;4.2;B;B;B;G;G;B;B;A;E;E;A;A;A;C;J;E;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BBDBADAABDCABCAADADDBCDACBCAAC;;;;201911;;15;;;0;;0;0;1;0;33;180003856117;;;97;;5;5;5;5;5;5;5;5;3;1;5;5;5;4;0;0;0;5;5;2;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS PARAUAPEBAS;2019;1.2;1.6;1.4;1.2;0;5.4;C;A;B;B;A;D;B;A;D;E;A;C;C;D;K;G;A;;B;;A;B;B;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DCBBACBDDABBCCBDAACBDABBCDDBBD;;ACBACDABDBACACACDABDBDBADADBCC;;201912;;201911;;15;0;;1;;1;0;1;0;36;180004659758;97;;103;;5;5;5;5;5;5;5;5;5;0;5;5;5;5;5;5;0;5;5;0;0;2;1;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CONCEIÇÃO DO ARAGUAIA;2019;1.4;1.6;1.4;1.2;1.6;7.2;C;A;B;A;C;C;A;A;L;A;A;A;B;D;K;G;A;;A;;B;A;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;CBBDAABBDCBBCDABAAADDACDDCACBA;;BDBACCCADBCAABABBCDDCCDBDADAAC;;201912;;201911;;15;1;;1;;1;0;1;0;31;180005590282;115;;108;;5;5;5;5;5;5;2;5;1;1;5;5;5;5;0;0;0;5;0;0;0;2;1;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ALTAMIRA;2019;1.2;1.4;1.4;1.2;0;5.2;C;A;A;G;A;B;B;A;A;A;A;A;A;D;F;F;A;;A;;B;B;A;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DCBCBABDBAABADAAAADADCCADDADAB;;BCDBAADAABAADABDCAADDABACAABAC;;201912;;201911;;15;1;;0;;1;0;1;0;28;180004079561;111;;92;;5;4;3;3;0;5;4;4;5;0;5;4;5;3;0;3;0;3;5;5;0;2;1;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1;1.4;1.4;1.2;1.6;6.6;C;A;B;F;A;B;B;A;K;E;B;A;A;E;K;G;A;;B;;B;B;B;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;ABBAABABBBABAAABBBABBBBBBBBBBB;;BCBABABBABAAAABBBBBABABADABAAD;;201912;;201911;;15;0;;0;;1;0;1;0;39;180005663477;87;;92;;5;5;5;5;5;5;5;5;2;0;5;1;5;5;0;0;0;5;5;0;0;2;1;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.2;1.2;1.2;0;4.8;B;A;B;A;D;D;C;A;E;D;D;B;C;C;J;B;A;;B;;B;B;B;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;ACDCADACBBCBDCABBADCABCDDADCCC;;ACBADBCABDABBDACDADDABADBACABC;;201912;;201911;;15;0;;0;;1;0;1;0;32;180004952788;95;;90;;5;5;5;5;5;5;5;5;3;0;5;5;5;5;0;0;0;5;0;0;0;2;1;;1;;1
